Brand,Model,Model_year,Milage,Fuel_type,Engine,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Mercedes-Benz,M235 i,2015,6090,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Red,None reported,Yes,27890
Mercedes-Benz,Enclave Premium,2016,6046,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Ebony Twilight Metallic,Ebony,None reported,Yes,18051
Mercedes-Benz,Colorado LT Crew Cab,2009,6025,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,14500
Mercedes-Benz,Sonata Hybrid Limited,2013,6000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,14999
Mercedes-Benz,Odyssey EX-L,2007,6000,Gasoline,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,7700
Mercedes-Benz,X5 PHEV xDrive45e,2022,59980,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,60500
Mercedes-Benz,Mustang EcoBoost Premium,2017,59766,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,23600
Mercedes-Benz,Sonata SE,2013,59715,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,12500
Mercedes-Benz,1500 Laramie,2022,59700,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,At least 1 accident or damage reported,,46999
Mercedes-Benz,Outlander Sport ES,2015,59700,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,10500
Mercedes-Benz,RX 350 Base,2021,59692,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,48900
Mercedes-Benz,CLS-Class CLS 400 4MATIC,2016,59678,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29950
Mercedes-Benz,Model X P100D,2017,59600,,Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,45999
Mercedes-Benz,Navigator L Reserve,2019,59528,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Tan,–,,,55460
Mercedes-Benz,Q7 3.0T Prestige,2018,59500,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,29900
Mercedes-Benz,F-250 Platinum,2022,59500,Gasoline,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,86500
Mercedes-Benz,Gladiator Overland,2020,59500,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,None reported,Yes,42433
Mercedes-Benz,Compass Latitude,2014,59459,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10950
Mercedes-Benz,Terrain SLT,2019,59419,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Red Quartz Tintcoat,Medium Ash Gray,At least 1 accident or damage reported,Yes,25925
Mercedes-Benz,Model Y Performance,2023,59400,,455.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,Yes,53900
Mercedes-Benz,Macan S,2020,59355,Gasoline,3.0L V6 24V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Black,Black,None reported,,54900
Mercedes-Benz,Camry Solara SLE,2008,59338,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500
Mercedes-Benz,SC 300 Base,1998,59300,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Purple,Beige,None reported,Yes,8700
Mercedes-Benz,Golf GTI 2.0T SE 4-Door,2019,59271,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,27500
Mercedes-Benz,Armada LE,2009,59271,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,20000
Mercedes-Benz,NX 300 Base,2021,59257,Gasoline,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Silver,Black,At least 1 accident or damage reported,,35999
Mercedes-Benz,Prelude Type SH,2001,59250,Gasoline,200.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,18000
Mercedes-Benz,Corvette ZR-1,2009,59203,Gasoline,638.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,78000
Mercedes-Benz,Camry Solara SE,2008,59000,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,,,13900
Mercedes-Benz,Genesis 4.6,2010,59000,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,10500
Mercedes-Benz,325 Ci,2004,59000,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Brown,None reported,Yes,5750
Mercedes-Benz,M3 Base,2002,59000,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,28750
Mercedes-Benz,Rover Range Rover Sport HSE Dynamic,2019,59000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,43500
Mercedes-Benz,Element EX,2008,58981,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,10500
Mercedes-Benz,Corolla CE,2008,58880,Gasoline,126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5199
Mercedes-Benz,Pickup Truck XE,1994,58816,–,–,A/T,Red,Gray,None reported,Yes,5899
Mercedes-Benz,Highlander XLE,2022,58800,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,42000
Mercedes-Benz,Golf GTI 2.0T SE 4-Door,2018,58800,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,23000
Mercedes-Benz,RDX,2016,58700,Gasoline,3.5 Liter,Automatic,Crystal Black,Black,None reported,,18998
Mercedes-Benz,Explorer Limited,2022,58664,Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,White,Black,None reported,Yes,46000
Mercedes-Benz,CTS Base,2005,58600,Gasoline,255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,6099
Mercedes-Benz,GLS 550 Base 4MATIC,2017,58500,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,39999
Mercedes-Benz,CTS Base,2010,58500,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,9499
Mercedes-Benz,Yukon SLT,2015,58375,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,30000
Mercedes-Benz,Maxima 3.5 SR,2019,58350,Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,26999
Mercedes-Benz,Sonata Sport,2017,58100,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Phantom Black,Graphite,None reported,,14599
Mercedes-Benz,Corsair Standard,2022,58060,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,None reported,Yes,38500
Mercedes-Benz,A5 Sportback S line Premium Plus,2021,58000,Hybrid,261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,37499
Mercedes-Benz,911 Carrera,1995,58000,–,–,6-Speed M/T,Silver,Gray,At least 1 accident or damage reported,Yes,97993
Mercedes-Benz,Civic Sport,2020,58000,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,White,Sport,At least 1 accident or damage reported,Yes,18387
Mercedes-Benz,G 550 4x4 Squared Base,2018,58000,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,Designo Magno Matte,Black,None reported,,204900
Mercedes-Benz,Panamera Platinum Edition,2022,58000,Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,86999
Mercedes-Benz,740e xDrive iPerformance,2019,58000,Plug-In Hybrid,322.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,A/T,White,Black,None reported,Yes,43500
Mercedes-Benz,F-250 XLT,2017,58000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,31000
Mercedes-Benz,Pilot EX-L,2016,57939,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,23000
Mercedes-Benz,Yukon SLE,2017,57918,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,34000
Mercedes-Benz,435 i xDrive,2014,57912,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,21800
Mercedes-Benz,NX 300 Base,2019,57852,Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Red,None reported,Yes,32500
Mercedes-Benz,GL-Class GL 450,2011,57800,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11900
Mercedes-Benz,1500 Big Horn,2022,57800,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,50204
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,57785,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Gray,Black,None reported,Yes,111000
Mercedes-Benz,Sierra 1500 SLT,2016,57690,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,32750
Mercedes-Benz,Mazda3 i Touring,2012,57550,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,–,None reported,Yes,6000
Mercedes-Benz,M8 Competition,2023,57500,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,129000
Mercedes-Benz,Panamera GTS,2016,57500,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,66200
Mercedes-Benz,Excursion XLS,2004,57300,Diesel,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,18000
Mercedes-Benz,F-150 Lariat,2013,57237,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,23000
Mercedes-Benz,Terrain SLT,2020,57000,Gasoline,170.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,25500
Mercedes-Benz,Maxima SV,2022,57000,Gasoline,3.5L V6 24V GDI DOHC,Automatic CVT,Brilliant Silver Metallic,Charcoal,None reported,,24980
Mercedes-Benz,S60 B5 Inscription,2022,57000,Hybrid,247.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Blue,Black,None reported,Yes,36500
Mercedes-Benz,Outback 2.5i Premium,2013,57000,Gasoline,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,12500
Mercedes-Benz,1500 Laramie,2022,57000,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,46999
Mercedes-Benz,Boxster Base,1997,57000,Gasoline,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Beige,,,8500
Mercedes-Benz,Explorer XLT,2020,57000,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Black,None reported,Yes,33500
Mercedes-Benz,RX 350 Base,2013,568,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,16500
Mercedes-Benz,X4 M Competition,2020,56985,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Orange,None reported,Yes,60000
Mercedes-Benz,Macan Turbo,2016,56946,Gasoline,400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,None reported,Yes,38000
Mercedes-Benz,Golf GTI 2.0T SE 4-Door,2016,56910,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,16750
Mercedes-Benz,1500 Laramie,2022,56860,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Diamond Black,Black,None reported,Yes,51074
Mercedes-Benz,XF Premium,2011,56846,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,9400
Mercedes-Benz,F-150 Lariat,2021,56842,Hybrid,430.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,Gray,None reported,Yes,61500
Mercedes-Benz,Renegade Trailhawk,2017,56837,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500
Mercedes-Benz,Challenger SRT Hellcat,2018,56778,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,62999
Mercedes-Benz,Gladiator Sport S,2020,56675,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,–,None reported,Yes,39500
Mercedes-Benz,911 Carrera Cabriolet,2001,56654,Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,,,31995
Mercedes-Benz,Tacoma SR5,2018,56600,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,26450
Mercedes-Benz,Grand Cherokee Laredo,2011,56578,Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Black,At least 1 accident or damage reported,Yes,12500
Mercedes-Benz,530 i xDrive,2020,56536,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Dark Graphite Metallic,Black,None reported,,38900
Mercedes-Benz,Rover Range Rover Velar R-Dynamic S,2023,56450,Gasoline,I4,Automatic,Firenze Red,Ebony,None reported,,57619
Mercedes-Benz,Hardtop Cooper S,2016,56300,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Volcanic Orange,Carbon Black,None reported,,17999
Mercedes-Benz,GV80 2.5T,2023,56247,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Beige,None reported,Yes,57300
Mercedes-Benz,LS 460 Base,2013,56235,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,24900
Mercedes-Benz,X6 M50i,2022,56006,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,–,At least 1 accident or damage reported,Yes,74999
Mercedes-Benz,Traverse RS,2023,56000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,48500
Mercedes-Benz,RX 350 F SPORT Appearance,2021,56000,Gasoline,3.5 Liter,Automatic,Obsidian,–,None reported,,49998
Mercedes-Benz,CX-50 2.5 Turbo Premium Package,2023,56000,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,36900
Mercedes-Benz,SRX Luxury Collection,2012,56000,E85 Flex Fuel,308.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,11499
Mercedes-Benz,500 Lounge,2013,56000,Gasoline,101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,9000
Mercedes-Benz,EQS 450+ Base,2022,56000,,329.0HP Electric Motor Electric Fuel System,A/T,Blue,White,None reported,Yes,69500
Mercedes-Benz,Cooper S Clubman Base,2009,56000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,6950
Mercedes-Benz,1500 Limited,2019,55900,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,Yes,44000
Mercedes-Benz,2500 Laramie,2018,55700,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,56750
Mercedes-Benz,Vue Hybrid Base,2009,55621,Hybrid,172.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Blue,Beige,None reported,Yes,4400
Mercedes-Benz,Cayenne Turbo,2017,55564,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,52999
Mercedes-Benz,Cooper S Base,2012,55403,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8500
Mercedes-Benz,SL-Class SL600 Roadster,2005,55400,Gasoline,493.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,22500
Mercedes-Benz,Enclave Leather,2015,55359,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,16000
Mercedes-Benz,Expedition Limited,2013,55250,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,16490
Mercedes-Benz,528 i xDrive,2015,55234,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12950
Mercedes-Benz,Z4 sDrive28i,2014,55100,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,34500
Mercedes-Benz,Model S Performance,2012,55050,,416.0HP Electric Motor Electric Fuel System,A/T,Green,Black,None reported,Yes,29000
Mercedes-Benz,Continental GT W12,2021,55018,Gasoline,"6L W-12 port/direct injection, DOHC, variable valve control, twi",Automatic,Fountain Blue,Linen,None reported,,239991
Mercedes-Benz,330 i xDrive,2018,55000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,17000
Mercedes-Benz,MDX Sport,2007,55000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,7700
Mercedes-Benz,Suburban Premier,2021,55000,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Shadow Gray Metallic,Jet Black,None reported,Yes,59980
Mercedes-Benz,Suburban High Country,2021,55000,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Satin Steel Metallic,Jet Black,None reported,Yes,68995
Mercedes-Benz,CTS-V Base,2006,55000,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,15000
Mercedes-Benz,Niro EV EX,2022,55000,,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,None reported,Yes,29998
Mercedes-Benz,X3 xDrive30i,2021,55000,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Phytonic Blue Metallic,Canberra Beige,None reported,,37400
Mercedes-Benz,Taycan Base,2021,55000,,321.0HP Electric Motor Electric Fuel System,2-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,83499
Mercedes-Benz,S2000 CR,2008,55000,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,Yes,62000
Mercedes-Benz,HS 250h Premium,2010,55000,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Red,Black,At least 1 accident or damage reported,Yes,9500
Mercedes-Benz,Navigator Base,2013,55000,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,21500
Mercedes-Benz,F-150 XLT,2020,55000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,37500
Mercedes-Benz,K5 GT-Line,2021,55000,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Wolf Gray,Black,None reported,,19980
Mercedes-Benz,Accord Sport,2013,542,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,6000
Mercedes-Benz,F-250 XLT,2019,54900,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Gray,None reported,Yes,59000
Mercedes-Benz,Fusion SE,2016,54900,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500
Mercedes-Benz,911 Carrera S,2023,54800,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Red,None reported,Yes,185950
Mercedes-Benz,Gladiator Overland,2020,54700,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,,,42850
Mercedes-Benz,C-Class C 63 AMG,2014,54500,Gasoline,451.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,45000
Mercedes-Benz,Pathfinder S,2014,54500,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,8500
Mercedes-Benz,Macan S,2018,54423,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,39750
Mercedes-Benz,F-250 XLT Crew Cab Super Duty,2008,54357,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,White,Beige,None reported,Yes,15900
Mercedes-Benz,Rover Range Rover Velar P380 S,2018,54323,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,40000
Mercedes-Benz,F-250 Lariat,2023,54320,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Red,Black,None reported,Yes,92000
Mercedes-Benz,Tundra SR5 Double Cab,2005,54300,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,11200
Mercedes-Benz,911 Turbo,2018,54293,Gasoline,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,169000
Mercedes-Benz,4Runner Limited,2021,54259,Gasoline,"4L V-6 DOHC, VVT-i variable valve control, engine with 270HP",Automatic,Midnight Black Metallic,–,None reported,,43837
Mercedes-Benz,328 i,2011,54225,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,18000
Mercedes-Benz,Bronco Badlands,2021,54200,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,51000
Mercedes-Benz,Xterra S,2012,54082,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,14800
Mercedes-Benz,ATS 2.0L Turbo Luxury,2016,54002,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Beige,None reported,Yes,16500
Mercedes-Benz,GLC 300 GLC 300,2022,54000,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,40998
Mercedes-Benz,A8 L 55,2019,54000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,49500
Mercedes-Benz,Edge SE,2020,54000,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,18900
Mercedes-Benz,Durango GT,2022,54000,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Octane Red Pearlcoat,Black,At least 1 accident or damage reported,,36599
Mercedes-Benz,328 i,2015,54000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,13349
Mercedes-Benz,Romeo Stelvio Ti,2023,54000,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Alfa White,Black,None reported,,43900
Mercedes-Benz,GL-Class GL 450 4MATIC,2007,54000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Beige,None reported,Yes,10199
Mercedes-Benz,Ranger XLT SuperCab,2002,54000,Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gold,Beige,At least 1 accident or damage reported,Yes,6450
Mercedes-Benz,M3 CS,2018,54000,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,70000
Mercedes-Benz,Golf GTI 2.0T Autobahn,2022,54000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,41500
Mercedes-Benz,4Runner SR5 Premium,2021,54000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,36990
Mercedes-Benz,Yukon SLT,2014,54000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,13500
Mercedes-Benz,Pilot EX-L,2016,535,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,19900
Mercedes-Benz,Town & Country LX,2009,53900,Gasoline,170.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,7858
Mercedes-Benz,Panamera Turbo,2018,53900,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Red,None reported,Yes,89750
